どういたしまして。 You are welcome.
こちらこそ。 Me too, same here.
りょうしん          両親
きょうだい          兄弟    siblings
おとな              大人
せかい              世界
きょうし            教師（自称）
せんせい            先生（尊称）
きょうしつ          教室
かず                数（number）
～しゅうかん        ～週間（～weeks）
～かげつ            ～か月（～months）
～かい             ～回（～times）
～何かい            ～何回（number of times）
アルバイト          part-time job
しらべる            調べる（look up）
じしょ              辞書
でんしじしょ        電子辞書
しゅくだい          宿題
にっき              日記
レポート            report
スピーチ            speech
おぼえる            憶える/覚える
けんがく            見学
かいしゃ            会社
ぎんこう            銀行
はたらく            働く
ひるやすみ          昼休み（lunch break）
ざんぎょう          残業（overtime work）
しゅっちょう        出張（business trip）
じむしょ            事務所
こうじょう          工場
かいぎ              会議
電話をかける        make a phone call
でんわばんごう      電話番号
しる               知る
てつだう           手伝う（help）
つくる             作る
やくにたつ          役に立つ（helpful）
かんごし            看護師
かいごし            介護士
もうすぐ            soon
はじまる            始まる
また                again
までに              （から　まで　までに）by
ですから             so
そんなに             so much
だんだん             gradually
